FID;SID;X;Y;Z;Radius
0;3;71.900;54.200;25.300;1.724
0;3;72.600;53.900;25.400;1.732
0;3;73.300;53.600;25.500;1.739
0;3;74.000;53.200;25.500;1.747
0;3;74.700;52.900;25.600;1.754
0;3;75.400;52.500;25.600;1.761
0;3;76.100;52.100;25.700;1.767
0;3;76.800;51.800;25.800;1.774
0;3;77.500;51.400;25.800;1.780
0;3;78.200;51.000;25.900;1.786
0;3;78.900;50.600;25.900;1.792
0;3;79.600;50.200;26.000;1.798
0;3;80.300;49.700;26.000;1.803
0;3;81.000;49.300;26.000;1.808
0;3;81.700;48.900;26.100;1.813
0;3;82.400;48.400;26.100;1.818
0;3;83.100;48.000;26.200;1.823
0;3;83.800;47.500;26.200;1.827
0;3;84.500;47.100;26.200;1.831
0;3;85.200;46.600;26.200;1.835
0;3;85.800;46.200;26.300;1.839
0;3;86.500;45.700;26.300;1.842
0;3;87.200;45.200;26.300;1.845
0;3;87.900;44.800;26.300;1.848
0;3;88.600;44.300;26.400;1.851
0;3;89.300;43.800;26.400;1.854
0;3;89.900;43.400;26.400;1.856
0;3;90.600;42.900;26.400;1.858
0;3;91.300;42.400;26.400;1.860
0;3;92.000;41.900;26.400;1.861
0;3;92.700;41.500;26.400;1.863
0;3;93.300;41.000;26.400;1.864
0;3;94.000;40.500;26.500;1.865
0;3;94.700;40.100;26.500;1.865
0;3;95.400;39.600;26.500;1.866
0;3;96.000;39.200;26.500;1.866
0;3;96.700;38.700;26.500;1.866
0;3;97.400;38.300;26.500;1.865
0;3;98.000;37.900;26.500;1.865
0;3;98.700;37.400;26.500;1.864
0;3;99.400;37.000;26.500;1.863
0;3;100.000;36.600;26.500;1.862
0;3;100.700;36.200;26.500;1.860
0;3;101.400;35.800;26.500;1.858
0;3;102.000;35.400;26.500;1.856
0;3;102.700;35.000;26.500;1.854
0;3;103.400;34.600;26.500;1.851
0;3;104.000;34.300;26.600;1.849
0;3;104.700;33.900;26.600;1.846
0;3;105.400;33.600;26.600;1.842
0;3;106.000;33.300;26.600;1.839
0;3;106.700;33.000;26.600;1.835
0;3;107.300;32.700;26.600;1.831
0;3;108.000;32.400;26.600;1.826
0;3;108.600;32.100;26.600;1.822
0;3;109.300;31.800;26.600;1.817
0;3;110.000;31.600;26.600;1.812
0;3;110.600;31.400;26.600;1.806
0;3;111.300;31.100;26.700;1.801
0;3;111.900;31.000;26.700;1.795
0;3;112.600;30.800;26.700;1.789
0;3;113.200;30.600;26.700;1.782
0;3;113.900;30.500;26.700;1.776
0;3;114.500;30.300;26.800;1.769
0;3;115.200;30.200;26.800;1.762
0;3;115.800;30.100;26.800;1.754
0;3;116.500;30.100;26.800;1.746
0;3;117.100;30.000;26.900;1.738
0;3;117.800;30.000;26.900;1.730
0;3;118.400;30.000;26.900;1.721
0;3;119.100;30.000;27.000;1.713
0;3;119.700;30.100;27.000;1.703
0;3;120.400;30.100;27.000;1.694
0;3;121.000;30.200;27.100;1.684
0;3;121.700;30.300;27.100;1.674
0;3;122.300;30.400;27.200;1.664
0;3;122.900;30.600;27.200;1.654
0;3;123.600;30.800;27.300;1.643
0;3;124.200;31.000;27.300;1.632
0;3;124.900;31.200;27.400;1.621
0;3;125.500;31.400;27.400;1.610
0;3;126.100;31.700;27.500;1.598
0;3;126.800;32.000;27.500;1.587
0;3;127.400;32.300;27.600;1.575
0;3;128.000;32.600;27.700;1.563
0;3;128.600;32.900;27.700;1.551
0;3;129.300;33.300;27.800;1.538
0;3;129.900;33.600;27.800;1.526
0;3;130.500;34.000;27.900;1.513
0;3;131.100;34.400;28.000;1.501
0;3;131.700;34.800;28.000;1.488
0;3;132.300;35.300;28.100;1.475
0;3;132.900;35.700;28.100;1.462
0;3;133.500;36.200;28.200;1.448
0;3;134.100;36.700;28.300;1.435
0;3;134.700;37.200;28.300;1.422
0;3;135.200;37.700;28.400;1.409
0;3;135.800;38.200;28.400;1.395
0;3;136.400;38.800;28.500;1.382
0;3;136.900;39.300;28.500;1.368
0;3;137.500;39.900;28.600;1.355
0;3;138.100;40.500;28.600;1.341
0;3;138.600;41.100;28.700;1.328
0;3;139.100;41.700;28.700;1.314
0;3;139.700;42.300;28.800;1.301
0;3;140.200;42.900;28.800;1.287
0;3;140.700;43.600;28.900;1.274
0;3;141.200;44.200;28.900;1.260
0;3;141.700;44.900;29.000;1.247
0;3;142.200;45.500;29.000;1.234
0;3;142.700;46.200;29.000;1.221
0;3;143.200;46.900;29.100;1.207
0;3;143.600;47.600;29.100;1.194
0;3;144.100;48.300;29.100;1.181
0;3;144.600;49.000;29.100;1.169
0;3;145.000;49.700;29.100;1.156
0;3;145.400;50.500;29.200;1.143
0;3;145.900;51.200;29.200;1.131
0;3;146.300;52.000;29.200;1.118
0;3;146.700;52.700;29.200;1.106
0;3;147.100;53.400;29.200;1.094
0;3;147.500;54.200;29.200;1.082
0;3;147.800;55.000;29.200;1.071
0;3;148.200;55.700;29.100;1.059
0;3;148.600;56.500;29.100;1.048
0;3;148.900;57.300;29.100;1.037
0;3;149.200;58.100;29.100;1.026
0;3;149.600;58.800;29.000;1.015
0;3;149.900;59.600;29.000;1.005
0;3;150.200;60.400;29.000;0.995
0;3;150.500;61.200;28.900;0.985
0;3;150.700;62.000;28.900;0.975
0;3;151.000;62.800;28.800;0.966
0;3;151.200;63.600;28.700;0.957
0;3;151.500;64.400;28.700;0.948
0;3;151.700;65.200;28.600;0.939
0;3;151.900;65.900;28.500;0.931
0;3;152.100;66.700;28.400;0.923
0;3;152.300;67.500;28.300;0.916
0;3;152.500;68.300;28.200;0.908
0;3;152.600;69.100;28.100;0.901
0;3;152.800;69.900;28.000;0.895
0;3;152.900;70.700;27.900;0.889
0;3;153.000;71.400;27.700;0.883
0;3;153.100;72.200;27.600;0.877
0;3;153.200;73.000;27.400;0.872
0;3;153.300;73.800;27.300;0.868
0;3;153.300;74.500;27.100;0.863
0;3;153.400;75.300;27.000;0.860
0;3;153.400;76.000;26.800;0.856
0;3;153.400;76.800;26.600;0.853
0;3;153.400;77.500;26.400;0.851
0;3;153.400;78.300;26.200;0.849
0;3;153.300;79.000;26.000;0.847
0;3;153.300;79.700;25.800;0.846
0;3;153.200;80.400;25.500;0.845
0;3;153.100;81.100;25.300;0.845
0;3;153.000;81.800;25.100;0.846
0;3;152.900;82.500;24.800;0.846
0;3;152.800;83.200;24.500;0.848
0;3;152.600;83.900;24.300;0.850
0;3;152.400;84.500;24.000;0.852
0;3;152.200;85.200;23.700;0.855
0;3;152.000;85.800;23.400;0.859
0;3;151.800;86.500;23.100;0.863
0;3;151.500;87.100;22.800;0.867
0;3;151.300;87.700;22.400;0.873
0;3;151.000;88.300;22.100;0.879
0;3;150.700;88.900;21.700;0.885
0;3;150.400;89.500;21.400;0.892
0;3;150.000;90.000;21.000;0.900
0;4;50.600;55.500;21.400;1.411
0;4;51.400;55.800;21.700;1.424
0;4;52.100;56.000;22.000;1.436
0;4;52.800;56.300;22.300;1.447
0;4;53.500;56.600;22.600;1.457
0;4;54.200;56.900;22.900;1.466
0;4;54.900;57.200;23.200;1.474
0;4;55.600;57.600;23.500;1.481
0;4;56.300;57.900;23.700;1.487
0;4;57.000;58.300;24.000;1.491
0;4;57.700;58.600;24.200;1.495
0;4;58.400;59.000;24.400;1.497
0;4;59.100;59.500;24.700;1.498
0;4;59.700;59.900;24.900;1.497
0;4;60.400;60.400;25.100;1.496
0;4;61.000;60.800;25.200;1.493
0;4;61.600;61.300;25.400;1.488
0;4;62.300;61.800;25.600;1.483
0;4;62.900;62.400;25.700;1.476
0;4;63.500;62.900;25.900;1.468
0;4;64.100;63.500;26.000;1.460
0;4;64.700;64.000;26.100;1.450
0;4;65.300;64.600;26.300;1.439
0;4;65.900;65.200;26.400;1.427
0;4;66.400;65.800;26.500;1.415
0;4;67.000;66.400;26.600;1.402
0;4;67.600;67.000;26.700;1.388
0;4;68.200;67.600;26.800;1.373
0;4;68.700;68.300;26.900;1.358
0;4;69.300;68.900;27.000;1.342
0;4;69.900;69.500;27.100;1.326
0;4;70.400;70.100;27.200;1.309
0;4;71.000;70.800;27.300;1.292
0;4;71.500;71.400;27.500;1.274
0;4;72.100;72.000;27.600;1.256
0;4;72.600;72.600;27.700;1.238
0;4;73.200;73.300;27.800;1.220
0;4;73.700;73.900;27.900;1.201
0;4;74.300;74.500;28.100;1.183
0;4;74.900;75.100;28.200;1.164
0;4;75.400;75.700;28.400;1.146
0;4;76.000;76.200;28.600;1.127
0;4;76.500;76.800;28.700;1.109
0;4;77.100;77.400;28.900;1.090
0;4;77.700;77.900;29.100;1.072
0;4;78.300;78.400;29.300;1.055
0;4;78.800;78.900;29.600;1.037
0;4;79.400;79.400;29.800;1.020
0;4;80.000;79.900;30.100;1.004
0;4;80.600;80.400;30.300;0.988
0;4;81.200;80.800;30.600;0.972
0;4;81.800;81.200;30.900;0.957
0;4;82.400;81.600;31.200;0.942
0;4;83.000;82.000;31.600;0.928
0;4;83.700;82.400;31.900;0.915
0;4;84.300;82.700;32.300;0.901
0;4;84.900;83.000;32.600;0.888
0;4;85.600;83.400;33.000;0.876
0;4;86.200;83.700;33.400;0.864
0;4;86.800;84.000;33.800;0.853
0;4;87.500;84.200;34.200;0.841
0;4;88.100;84.500;34.600;0.831
0;4;88.800;84.800;35.000;0.820
0;4;89.500;85.000;35.500;0.810
0;4;90.100;85.200;35.900;0.801
0;4;90.800;85.500;36.400;0.791
0;4;91.500;85.700;36.800;0.782
0;4;92.200;85.900;37.300;0.774
0;4;92.800;86.100;37.700;0.766
0;4;93.500;86.300;38.200;0.758
0;4;94.200;86.500;38.600;0.750
0;4;94.900;86.600;39.100;0.743
0;4;95.600;86.800;39.600;0.736
0;4;96.300;87.000;40.000;0.729
0;4;97.000;87.100;40.500;0.723
0;4;97.700;87.300;41.000;0.717
0;4;98.400;87.500;41.400;0.711
0;4;99.100;87.600;41.900;0.705
0;4;99.800;87.800;42.300;0.700
0;4;100.600;87.900;42.800;0.695
0;4;101.300;88.100;43.200;0.690
0;4;102.000;88.200;43.700;0.686
0;4;102.700;88.400;44.100;0.681
0;4;103.400;88.500;44.500;0.677
0;4;104.200;88.700;45.000;0.673
0;4;104.900;88.800;45.400;0.670
0;4;105.600;89.000;45.800;0.666
0;4;106.400;89.200;46.200;0.663
0;4;107.100;89.300;46.600;0.659
0;4;107.800;89.500;46.900;0.656
0;4;108.600;89.700;47.300;0.653
0;4;109.300;89.900;47.700;0.651
0;4;110.000;90.100;48.000;0.648
0;4;110.800;90.300;48.300;0.646
0;4;111.500;90.500;48.600;0.643
0;4;112.300;90.700;48.900;0.641
0;4;113.000;90.900;49.200;0.639
0;4;113.700;91.100;49.500;0.637
0;4;114.500;91.400;49.700;0.635
0;4;115.200;91.600;50.000;0.633
0;4;116.000;91.900;50.200;0.631
0;4;116.700;92.200;50.400;0.630
0;4;117.500;92.500;50.600;0.628
0;4;118.200;92.800;50.700;0.626
0;4;118.900;93.100;50.900;0.625
0;4;119.700;93.400;51.000;0.623
0;4;120.400;93.800;51.100;0.622
0;4;121.200;94.100;51.100;0.620
0;4;121.900;94.500;51.200;0.619
0;4;122.700;94.900;51.200;0.617
0;4;123.400;95.300;51.200;0.616
0;4;124.100;95.800;51.200;0.614
0;4;124.900;96.200;51.100;0.613
0;4;125.600;96.700;51.100;0.611
0;4;126.300;97.200;51.000;0.610
0;4;127.100;97.700;50.800;0.608
0;4;127.800;98.200;50.700;0.606
0;4;128.500;98.800;50.500;0.604
0;4;129.300;99.400;50.300;0.602
0;4;130.000;100.000;50.000;0.601
1;8;114.800;15.600;8.500;0.618
1;8;114.200;16.100;8.700;0.637
1;8;113.500;16.600;8.900;0.658
1;8;112.900;17.200;9.100;0.680
1;8;112.200;17.700;9.300;0.703
1;8;111.600;18.300;9.500;0.728
1;8;111.000;18.900;9.600;0.753
1;8;110.400;19.500;9.800;0.780
1;8;109.900;20.100;10.000;0.808
1;8;109.300;20.700;10.200;0.837
1;8;108.800;21.300;10.400;0.867
1;8;108.300;22.000;10.600;0.897
1;8;107.700;22.600;10.800;0.929
1;8;107.200;23.300;11.000;0.961
1;8;106.800;24.000;11.200;0.994
1;8;106.300;24.600;11.400;1.027
1;8;105.800;25.300;11.600;1.061
1;8;105.400;26.100;11.800;1.096
1;8;104.900;26.800;12.000;1.131
1;8;104.500;27.500;12.200;1.166
1;8;104.100;28.200;12.400;1.202
1;8;103.700;29.000;12.600;1.238
1;8;103.300;29.800;12.800;1.274
1;8;102.900;30.500;13.000;1.310
1;8;102.600;31.300;13.200;1.347
1;8;102.200;32.100;13.400;1.383
1;8;101.900;32.900;13.600;1.419
1;8;101.500;33.700;13.800;1.456
1;8;101.200;34.500;14.000;1.492
1;8;100.900;35.300;14.200;1.527
1;8;100.600;36.200;14.400;1.563
1;8;100.300;37.000;14.600;1.598
1;8;100.000;37.800;14.900;1.633
1;8;99.700;38.700;15.100;1.667
1;8;99.400;39.600;15.300;1.701
1;8;99.200;40.400;15.500;1.734
1;8;98.900;41.300;15.700;1.767
1;8;98.700;42.200;15.900;1.799
1;8;98.400;43.000;16.100;1.830
1;8;98.200;43.900;16.300;1.860
1;8;98.000;44.800;16.500;1.889
1;8;97.700;45.700;16.700;1.918
1;8;97.500;46.600;16.900;1.945
1;8;97.300;47.500;17.100;1.972
1;8;97.100;48.400;17.400;1.997
1;8;96.900;49.400;17.600;2.021
1;8;96.700;50.300;17.800;2.044
1;8;96.600;51.200;18.000;2.065
1;8;96.400;52.100;18.200;2.085
1;8;96.200;53.100;18.400;2.104
1;8;96.100;54.000;18.600;2.121
1;8;95.900;54.900;18.800;2.137
1;8;95.700;55.900;19.000;2.151
1;8;95.600;56.800;19.300;2.163
1;8;95.400;57.800;19.500;2.173
1;8;95.300;58.700;19.700;2.182
1;8;95.100;59.600;19.900;2.189
1;8;95.000;60.600;20.100;2.194
1;8;94.900;61.500;20.300;2.197
1;8;94.700;62.500;20.500;2.199
1;8;94.600;63.400;20.800;2.198
1;8;94.500;64.400;21.000;2.196
1;8;94.300;65.300;21.200;2.193
1;8;94.200;66.200;21.400;2.188
1;8;94.000;67.200;21.600;2.183
1;8;93.900;68.100;21.800;2.175
1;8;93.700;69.000;22.000;2.167
1;8;93.500;69.900;22.300;2.158
1;8;93.400;70.800;22.500;2.149
1;8;93.200;71.600;22.700;2.138
1;8;93.000;72.500;22.900;2.127
1;8;92.700;73.300;23.100;2.115
1;8;92.500;74.200;23.300;2.103
1;8;92.300;75.000;23.500;2.091
1;8;92.000;75.700;23.800;2.079
1;8;91.700;76.500;24.000;2.066
1;8;91.400;77.200;24.200;2.054
1;8;91.000;78.000;24.400;2.041
1;8;90.700;78.700;24.600;2.029
1;8;90.300;79.300;24.800;2.018
1;8;89.900;80.000;25.000;2.006
1;8;89.500;80.600;25.200;1.996
1;8;89.000;81.200;25.400;1.986
1;8;88.500;81.700;25.600;1.976
1;8;88.000;82.200;25.800;1.967
1;8;87.500;82.700;26.000;1.959
1;8;86.900;83.200;26.200;1.951
1;8;86.400;83.700;26.400;1.943
1;8;85.800;84.100;26.600;1.936
1;8;85.100;84.500;26.800;1.929
1;8;84.500;84.900;27.000;1.923
1;8;83.800;85.300;27.200;1.917
1;8;83.100;85.600;27.400;1.911
1;8;82.400;85.900;27.600;1.906
1;8;81.700;86.200;27.800;1.901
